Section reference,Weight kg/m,Area cm2,Depth mm,Flange mm,t mm,Iy cm4,Iz cm4,Wel.y cm3,Wel.z cm3,iy cm,iz cm,Cy cm,Cz cm,My.Rd kNm,Mz.Rd kNm
202 C 18,4.89,6.23,202,65,1.8,386.9,32,38.31,6.63,7.83,2.25,10.1,1.66,15.052,2.982
202 C 20,5.41,6.9,202,65,2,427.8,35.2,42.36,7.29,7.82,2.24,10.1,1.67,17.487,3.28
202 C 23,6.19,7.89,202,65,2.3,488.4,39.9,48.35,8.26,7.8,2.23,10.1,1.67,20.986,3.716
202 C 27,7.21,9.19,202,65,2.7,567.7,45.9,56.2,9.5,7.78,2.21,10.1,1.67,25.405,4.274
232 C 14,4.16,5.3,232,65,1.4,420.9,26.4,36.28,5.32,8.87,2.22,11.6,1.54,11.556,2.396
232 C 15,4.45,5.67,232,65,1.5,449.9,28.2,38.79,5.68,8.86,2.22,11.6,1.54,13.022,2.555
232 C 16,4.74,6.04,232,65,1.6,478.8,29.9,41.28,6.03,8.86,2.21,11.6,1.54,14.499,2.711
232 C 18,5.32,6.77,232,65,1.8,536.3,33.3,46.23,6.71,8.85,2.2,11.6,1.54,17.448,3.02
232 C 20,5.89,7.5,232,65,2,593.1,36.6,51.13,7.38,8.83,2.19,11.6,1.54,20.34,3.322
232 C 23,6.73,8.58,232,65,2.3,677.5,41.4,58.4,8.36,8.82,2.18,11.6,1.55,24.524,3.763
232 C 25,7.29,9.29,232,65,2.5,733,44.6,63.19,9,8.81,2.17,11.6,1.55,27.22,4.049
262 C 15,4.81,6.12,262,65,1.5,600.8,29.1,45.86,5.73,9.86,2.17,13.1,1.43,14.612,2.58
262 C 16,5.12,6.52,262,65,1.6,639.5,30.8,48.82,6.09,9.85,2.16,13.1,1.43,16.33,2.739
262 C 18,5.74,7.31,262,65,1.8,716.4,34.3,54.69,6.78,9.84,2.15,13.1,1.43,19.76,3.05
262 C 20,6.36,8.1,262,65,2,792.7,37.8,60.51,7.46,9.83,2.15,13.1,1.44,23.134,3.356
262 C 23,7.27,9.27,262,65,2.3,905.8,42.7,69.15,8.45,9.82,2.13,13.1,1.44,28.047,3.801
262 C 25,7.88,10.04,262,65,2.5,980.4,46,74.84,9.09,9.8,2.12,13.1,1.44,31.231,4.091
262 C 29,9.08,11.57,262,65,2.9,1127.6,52.2,86.08,10.33,9.78,2.1,13.1,1.45,37.436,4.65
302 C 18,7.1,9.04,302,88,1.8,1228.5,84.4,81.36,12.66,11.6,3.04,15.1,2.14,25.256,5.698
302 C 20,7.86,10.02,302,88,2,1360.3,93,90.09,13.97,11.59,3.03,15.1,2.14,30.351,6.285
302 C 23,9.01,11.47,302,88,2.3,1556.4,105.8,103.07,15.89,11.58,3.02,15.1,2.14,38.11,7.149
302 C 25,9.76,12.44,302,88,2.5,1686,114.1,111.65,17.14,11.57,3.01,15.1,2.14,43.246,7.713
302 C 29,11.27,14.35,302,88,2.9,1942.4,130.3,128.63,19.59,11.55,2.99,15.1,2.15,53.219,8.816
342 C 20,8.49,10.82,342,88,2,1826.8,96.1,106.83,14.11,12.93,2.97,17.1,1.99,34.212,6.351
342 C 23,9.73,12.39,342,88,2.3,2090.8,109.3,122.27,16.05,12.92,2.95,17.1,1.99,43.256,7.224
342 C 25,10.55,13.44,342,88,2.5,2265.4,117.9,132.48,17.32,12.91,2.94,17.1,2,49.248,7.795
342 C 27,11.37,14.48,342,88,2.7,2438.8,126.3,142.62,18.57,12.9,2.93,17.1,2,55.149,8.357
342 C 30,12.58,16.03,342,88,3,2696.9,138.8,157.71,20.41,12.88,2.92,17.1,2,63.794,9.183
402 C 30,14.37,18.31,402,95,3,4167.4,178.4,207.33,23.92,14.99,3.1,20.1,2.04,78.846,10.765
