Section reference,Weight kg/m,Area cm2,Depth mm,Top flange mm,Bottom flange mm,t mm,Iy cm4,Iz cm4,Wel.y cm3,Wel.z cm3,iy cm,iz cm,Cy cm,Cz cm,My.Rd kNm,Mz.Rd kNm
302 Z 20,7.86,10.02,302,90,82,2.0,1355.9,132.9,88.70,15.15,11.57,3.62,15.29,8.23,30.362,6.819
302 Z 23,9.01,11.47,302,90,82,2.3,1551.3,150.9,101.49,17.24,11.56,3.61,15.29,8.21,38.205,7.758
302 Z 25,9.76,12.44,302,90,82,2.5,1680.5,162.7,109.94,18.60,11.55,3.59,15.29,8.20,43.417,8.372
302 Z 29,11.27,14.35,302,90,82,2.9,1936.1,185.6,126.66,21.27,11.53,3.57,15.29,8.18,53.561,9.573
342 Z 20,8.49,10.82,342,90,82,2.0,1821.7,132.9,105.34,15.14,12.92,3.49,17.29,8.22,34.241,6.812
342 Z 23,9.73,12.39,342,90,82,2.3,2085.0,151.0,120.56,17.22,12.90,3.47,17.29,8.20,43.380,7.750
342 Z 25,10.55,13.44,342,90,82,2.5,2259.1,162.7,130.63,18.59,12.89,3.46,17.29,8.19,49.455,8.364
342 Z 27,11.37,14.48,342,90,82,2.7,2432.1,174.3,140.63,19.93,12.88,3.45,17.29,8.18,55.447,8.968
342 Z 30,12.58,16.03,342,90,82,3.0,2689.4,191.3,155.51,21.91,12.86,3.43,17.29,8.17,64.227,9.858
402 Z 30,14.37,18.31,402,97,89,3.0,4158.1,241.1,204.83,25.54,14.98,3.61,20.30,8.86,79.277,11.494
